scale, text_format
0,
3, тысяч
6, миллион
9, миллиард
12, триллион
15, квадриллион
18, квинтиллион
21, секстиллион
24, септиллион
27, октиллион
30, нониллион
33, дециллион
36, андециллион
39, дуодециллион
42, тредециллион
45, кваттордециллион
48, квиндециллион
51, сексдециллион
54, септемдециллион
57, октодециллион
60, новемдециллион
63, вигинтиллион
66, унвигинтиллион
69, дуовигинтиллион
72, тревигинтиллион
75, кваттуорвигинтиллион
78, квинвигинтиллион
81, сексвигинтиллион
84, септенвигинтиллион
87, октовигинтиллион
90, новемвигинтиллион
93, тригинтиллион
96, унтригинтиллион
99, дуотригинтиллион
102, третригинтиллион
105, кваттуортригинтиллион
108, квинтригинтиллион
111, секстригинтиллион
114, септентригинтиллион
117, октотригинтиллион
120, новемтригинтиллион
123, квадрагинтиллион
